symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-12-14 05:00:00+00:00,483.9,486.7,474.22,483.5,39132451.0,557483.0,481.183683
NVDA,2023-12-15 05:00:00+00:00,481.94,494.04,481.2,488.9,47994758.0,562042.0,489.389394
NVDA,2023-12-18 05:00:00+00:00,494.0,504.3299,491.5,500.77,41271269.0,623417.0,498.999075
NVDA,2023-12-19 05:00:00+00:00,494.24,497.0,488.95,496.04,46449269.0,641091.0,493.152247
NVDA,2023-12-20 05:00:00+00:00,496.55,499.99,480.98,481.11,39810215.0,549515.0,491.868792
NVDA,2023-12-21 05:00:00+00:00,488.11,490.95,484.19,489.9,30050595.0,430775.0,487.389554
NVDA,2023-12-22 05:00:00+00:00,491.95,493.83,484.67,488.3,25250676.0,383378.0,489.769641
NVDA,2023-12-26 05:00:00+00:00,489.68,496.0,489.6,492.79,24422298.0,353363.0,493.672295
NVDA,2023-12-27 05:00:00+00:00,495.11,496.8,490.85,494.17,23369993.0,337162.0,493.566589
NVDA,2023-12-28 05:00:00+00:00,496.43,498.8399,494.12,495.22,24660983.0,371424.0,496.419755
NVDA,2023-12-29 05:00:00+00:00,498.13,499.97,487.51,495.22,38929371.0,520970.0,495.195597
NVDA,2024-01-02 05:00:00+00:00,492.44,492.95,475.95,481.68,41133111.0,680390.0,480.482282
NVDA,2024-01-03 05:00:00+00:00,474.85,481.841,473.2,475.69,32097119.0,493660.0,476.744133
NVDA,2024-01-04 05:00:00+00:00,477.67,485.0,475.08,479.98,30662544.0,455046.0,480.95109
